Tool,Tool,Tool,Tool,Tool,Tool,Tool,Tool,Tool,Tool,Tool,Tool,Tool,Tool,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
chisel_x,chisel_y,chisel_z,chisel_w,chisel_X,chisel_Y,chisel_Z,gripper_x,gripper_y,gripper_z,gripper_w,gripper_X,gripper_Y,gripper_Z,battery_x,battery_y,battery_z,battery_w,battery_X,battery_Y,battery_Z,A2_X,A2_Y,A2_Z,A1_X,A1_Y,A1_Z,A3_X,A3_Y,A3_Z,B2_X,B2_Y,B2_Z,B3_X,B3_Y,B3_Z,C1_X,C1_Y,C1_Z,C2_X,C2_Y,C2_Z,C3_X,C3_Y,C3_Z,B1_X,B1_Y,B1_Z
-0.910570,0.006614,-0.018274,-0.412898,-0.104770,0.158344,0.210705,-0.823051,-0.256077,-0.055365,-0.503931,-0.283697,0.254332,0.227699,-0.000484,0.000027,0.000039,-1.000000,0.038861,0.138208,0.300245,0.198076,0.129125,0.298329,0.197803,0.130582,0.380936,0.196033,0.127774,0.218776,0.039421,0.124926,0.299113,0.038984,0.126406,0.223240,-0.107420,0.133683,0.377997,-0.107828,0.131847,0.298729,-0.107638,0.133362,0.225728,0.039141,0.124175,0.380574
-0.910631,0.006525,-0.018280,-0.412765,-0.104750,0.158215,0.210726,-0.823083,-0.256003,-0.055303,-0.503923,-0.283676,0.254339,0.227685,-0.000435,-0.000024,0.000010,-1.000000,0.038855,0.138206,0.300214,0.198095,0.129146,0.298313,0.197815,0.130595,0.380910,0.196037,0.127798,0.218766,0.039427,0.124945,0.299093,0.038988,0.126423,0.223233,-0.107401,0.133704,0.377981,-0.107823,0.131858,0.298710,-0.107614,0.133381,0.225708,0.039154,0.124194,0.380557
-0.910698,0.006485,-0.018186,-0.412622,-0.104747,0.158077,0.210747,-0.822990,-0.255909,-0.055266,-0.504127,-0.283680,0.254374,0.227733,-0.000453,-0.000030,0.000011,-1.000000,0.038858,0.138224,0.300205,0.198105,0.129158,0.298307,0.197816,0.130600,0.380898,0.196032,0.127811,0.218759,0.039433,0.124958,0.299084,0.038983,0.126442,0.223227,-0.107398,0.133719,0.377969,-0.107810,0.131870,0.298707,-0.107615,0.133386,0.225702,0.039160,0.124205,0.380549
-0.910739,0.006481,-0.018046,-0.412537,-0.104738,0.157972,0.210781,-0.822915,-0.255785,-0.055236,-0.504314,-0.283686,0.254419,0.227779,-0.000473,-0.000025,0.000014,-1.000000,0.038867,0.138249,0.300195,0.198115,0.129181,0.298301,0.197825,0.130620,0.380889,0.196041,0.127843,0.218752,0.039436,0.124978,0.299081,0.038988,0.126456,0.223214,-0.107386,0.133724,0.377968,-0.107805,0.131886,0.298705,-0.107607,0.133402,0.225691,0.039168,0.124227,0.380539
-0.910788,0.006528,-0.017879,-0.412436,-0.104752,0.157848,0.210838,-0.822967,-0.255758,-0.055206,-0.504248,-0.283674,0.254429,0.227781,-0.000466,-0.000032,0.000019,-1.000000,0.038855,0.138257,0.300210,0.198102,0.129193,0.298312,0.197815,0.130636,0.380900,0.196026,0.127832,0.218761,0.039429,0.124991,0.299093,0.038973,0.126453,0.223234,-0.107391,0.133754,0.377985,-0.107814,0.131899,0.298720,-0.107618,0.133410,0.225706,0.039153,0.124234,0.380555
-0.910839,0.006688,-0.017591,-0.412334,-0.104777,0.157729,0.210887,-0.823053,-0.255722,-0.055181,-0.504129,-0.283661,0.254434,0.227778,-0.000755,0.000051,0.000009,-1.000000,0.038885,0.138398,0.300235,0.198096,0.129201,0.298330,0.197809,0.130645,0.380925,0.196024,0.127838,0.218788,0.039418,0.124995,0.299116,0.038982,0.126465,0.223244,-0.107393,0.133757,0.377998,-0.107815,0.131916,0.298737,-0.107622,0.133404,0.225726,0.039151,0.124243,0.380568
-0.910877,0.006880,-0.017196,-0.412262,-0.104806,0.157607,0.210959,-0.823137,-0.255708,-0.055124,-0.504004,-0.283657,0.254437,0.227785,-0.000560,0.000029,0.000052,-1.000000,0.038850,0.138294,0.300269,0.198079,0.129212,0.298358,0.197789,0.130645,0.380960,0.196012,0.127820,0.218815,0.039404,0.124995,0.299153,0.038970,0.126445,0.223270,-0.107421,0.133758,0.378030,-0.107838,0.131908,0.298769,-0.107644,0.133404,0.225756,0.039128,0.124235,0.380605
-0.910918,0.007509,-0.016141,-0.412203,-0.104923,0.157306,0.211093,-0.822971,-0.255398,-0.055025,-0.504444,-0.283742,0.254560,0.227911,-0.000597,0.000009,0.000053,-1.000000,0.038819,0.138318,0.300290,0.198046,0.129228,0.298393,0.197749,0.130659,0.380989,0.196004,0.127800,0.218817,0.039377,0.125005,0.299175,0.038963,0.126454,0.223270,-0.107453,0.133779,0.378066,-0.107878,0.131920,0.298794,-0.107672,0.133427,0.225783,0.039098,0.124243,0.380625
-0.910944,0.007633,-0.015859,-0.412154,-0.104951,0.157171,0.211105,-0.822826,-0.255224,-0.055000,-0.504770,-0.283798,0.254603,0.227980,-0.000576,-0.000050,0.000027,-1.000000,0.038805,0.138298,0.300265,0.198055,0.129208,0.298381,0.197751,0.130648,0.380974,0.196013,0.127802,0.218791,0.039378,0.124986,0.299161,0.038968,0.126445,0.223257,-0.107438,0.133748,0.378053,-0.107869,0.131911,0.298781,-0.107661,0.133410,0.225772,0.039108,0.124233,0.380616
-0.910988,0.007627,-0.015805,-0.412059,-0.104964,0.157010,0.211108,-0.822737,-0.255184,-0.055016,-0.504934,-0.283803,0.254639,0.228007,-0.000572,-0.000047,0.000031,-1.000000,0.038815,0.138283,0.300252,0.198064,0.129188,0.298365,0.197766,0.130633,0.380960,0.196018,0.127784,0.218782,0.039387,0.124982,0.299142,0.038973,0.126418,0.223243,-0.107440,0.133734,0.378032,-0.107855,0.131894,0.298777,-0.107663,0.133402,0.225755,0.039118,0.124214,0.380598
-0.911051,0.007686,-0.015624,-0.411925,-0.104991,0.156833,0.211121,-0.822757,-0.255235,-0.055029,-0.504875,-0.283787,0.254637,0.227985,-0.000558,-0.000037,0.000027,-1.000000,0.038812,0.138257,0.300253,0.198055,0.129165,0.298358,0.197772,0.130604,0.380953,0.196003,0.127766,0.218789,0.039378,0.124962,0.299144,0.038962,0.126400,0.223249,-0.107444,0.133706,0.378022,-0.107859,0.131868,0.298776,-0.107676,0.133366,0.225750,0.039112,0.124194,0.380605
